TIMESTAMP,RECORD,AirTempC_Avg,AirTempC_Max,AirTempC_Min,RelHum_Avg,RelHum_Max,RelHum_Min,WindSpd_ms_Max,Wind_Speed_AVG,Wind_Dir_Avg,SlrRad_W_Avg,SlrRad_W_Max,Rain_mm_Tot,DewPntC_Max,DewPntC_Min,WindChilC_Max,WindChilC_Min,HeatIndxC_Max,HeatIndxC_Min,ETrs_mm_Total,Rso
6/1/2021 0:00,109517,15.15,15.72,14.5,76.21,79.42,73.83,0.001,0.001,284.3,0,0,0,11.29,10.69,15.72,14.5,15.72,14.5,-0.032,0
6/1/2021 1:00,109518,14.32,14.67,14.13,80.3,81.9,79.32,0.001,0.001,284.4,0,0,0,11.27,10.79,14.67,14.13,14.67,14.13,-0.031,0
6/1/2021 2:00,109519,13.79,14.23,13.42,83.5,84.5,80.6,0.001,0.001,284.5,0,0,0,11.25,10.84,14.23,13.42,14.23,13.42,-0.031,0
6/1/2021 3:00,109520,13.06,13.52,12.65,86.1,87.8,84.4,0.001,0.001,284.7,0,0,0,11.05,10.6,13.52,12.65,13.52,12.65,-0.03,0
6/1/2021 4:00,109521,12.32,12.78,11.97,89.5,91.3,87.6,0.001,0.001,284.7,0,0,0,10.85,10.5,12.78,11.97,12.78,11.97,-0.029,0
6/1/2021 5:00,109522,11.82,12.11,11.46,91.8,92.5,91,0.001,0.001,285.3,5.199,15.22,0,10.75,10.27,12.11,11.46,12.11,11.46,610.9,0.086
6/1/2021 6:00,109523,13.41,16.57,11.43,87.8,93.2,72,0.441,0.002,284.4,113,188.5,0,12.81,10.26,16.57,11.43,16.57,11.43,7999,0.599
6/1/2021 7:00,109524,16.61,17.44,16,74.96,77.43,71.87,2.039,0.197,268.9,269.6,354,0,13.09,11.38,17.44,16,17.44,16,7999,1.188
6/1/2021 8:00,109525,18.65,20.18,17.28,67.87,73.87,61.62,1.879,0.101,267.4,439.1,523.8,0,13.21,12.23,20.18,17.28,20.18,17.28,7999,1.764
6/1/2021 9:00,109526,20.01,20.59,19.7,61.09,64.39,58.99,4.436,0.833,275.3,601.7,677.1,0,13.23,11.84,20.59,19.7,20.59,19.7,7999,2.286
6/1/2021 10:00,109527,21.23,22.42,20.43,58.41,62.52,54.67,4.436,0.843,275.9,741.3,801,0,14.03,12.17,22.42,20.43,22.42,20.43,7999,2.72
6/1/2021 11:00,109528,23.16,24.23,22.34,53.05,59.24,48.22,3.637,0.725,276.5,846,885,0,14.49,12.49,24.23,22.34,24.23,22.34,7999,3.036
6/1/2021 12:00,109529,24.72,25.47,24.13,47.29,52.49,44.11,4.596,1.4,279.1,908,925,0,14.35,11.98,25.47,24.13,25.47,24.13,7999,3.212
6/1/2021 13:00,109530,26.13,27.09,25.16,43.12,47.73,40.12,4.116,0.765,282.9,921,929,0,14.21,12.01,27.09,25.16,27.09,25.16,7999,3.237
6/1/2021 14:00,109531,27.44,28.66,26.57,39.56,46.8,35.4,5.874,1.156,286.4,883,913,0,14.84,11.56,28.66,26.57,28.66,26.57,7999,3.108
6/1/2021 15:00,109532,28.58,29.77,27.5,36.35,42.66,32.71,4.276,0.391,287,798.3,849,0,14.3,11.48,29.77,27.5,29.77,27.5,7999,2.835
6/1/2021 16:00,109533,29.02,29.4,28.69,33.76,40.19,32.15,6.194,1.903,288.3,671.8,740.9,0,14.4,10.71,29.4,28.69,29.4,28.69,7999,2.436
6/1/2021 17:00,109534,29.39,29.91,28.98,32.13,35.83,30.48,5.075,1.473,288.2,516.3,598.3,0,13.11,10.47,29.91,28.98,29.91,28.98,7999,1.938
6/1/2021 18:00,109535,29.11,29.39,28.83,31.69,34.52,29.65,3.637,1.405,285.7,345,432.4,0,11.94,9.56,29.39,28.83,29.39,28.83,7999,1.375
