Common_name,Scientific_name,Latitude,Longitude,PostHeatwaveRating,Observation date (DD/MM/YYYY),Observation_ID
Acorn barnacle,Balanus glandula,51.774,-127.437,worse than normal,24/08/2021,QO_152
Acorn barnacle,Balanus glandula,51.6581,-128.1321,worse than normal,19/08/2021,QO_148
Acorn barnacle,Balanus glandula,51.6546,-128.1303,much worse than normal,19/08/2021,QO_147
Acorn barnacle,Balanus glandula,51.6492,-128.0262,worse than normal,22/08/2021,QO_149
Acorn barnacle,Balanus glandula,51.6396,-128.1521,worse than normal,20/08/2021,QO_153
Acorn barnacle,Balanus glandula,51.5388,-127.5626,worse than normal,24/08/2021,QO_151
Acorn barnacle,Balanus glandula,49.561,-123.2338,much worse than normal,18/08/2021,QO_178
Acorn barnacle,Balanus glandula,49.4904,-124.789,much worse than normal,9/9/2021,QO_197
Acorn barnacle,Balanus glandula,49.4576,-123.7388,much worse than normal,16/07/2021,QO_167
Acorn barnacle,Balanus glandula,49.3752,-123.2743,much worse than normal,5/9/2021,QO_196
Acorn barnacle,Balanus glandula,49.3594,-124.4677,much worse than normal,9/9/2021,QO_195
Acorn barnacle,Balanus glandula,49.3392,-123.223,much worse than normal,5/9/2021,QO_194
Acorn barnacle,Balanus glandula,49.3172,-122.9436,much worse than normal,6/7/2021,QO_185
Acorn barnacle,Balanus glandula,49.311,-122.9282,worse than normal,22/07/2021,QO_177
Acorn barnacle,Balanus glandula,49.2777,-123.1523,much worse than normal,3/9/2021,QO_193
Acorn barnacle,Balanus glandula,49.275,-123.1985,much worse than normal,2/9/2021,QO_192
Acorn barnacle,Balanus glandula,49.0433,-123.7522,much worse than normal,21/07/2021,QO_179
Acorn barnacle,Balanus glandula,49.0316,-122.8756,much worse than normal,26/07/2021,QO_168
Acorn barnacle,Balanus glandula,48.9887,-123.5484,much worse than normal,23/07/2021,QO_155
Acorn barnacle,Balanus glandula,48.8846,-123.3209,worse than normal,23/07/2021,QO_154
Acorn barnacle,Balanus glandula,48.8188,-125.164,worse than normal,10/8/2021,QO_156
Acorn barnacle,Balanus glandula,48.4518,-123.2666,worse than normal,25/07/2021,QO_180
Acorn barnacle,Balanus glandula,48.3948,-123.9867,normal,10/7/2021,QO_169
Acorn barnacle,Balanus glandula,48.3911,-124.7385,normal,5/9/2021,QO_188
Acorn barnacle,Balanus glandula,48.0455,-123.0309,much worse than normal,12/7/2021,QO_074
Acorn barnacle,Balanus glandula,48.0455,-123.0309,much worse than normal,20/07/2021,QO_077
Acorn barnacle,Balanus glandula,48.0258,-122.7232,much worse than normal,22/07/2021,QO_082
Acorn barnacle,Balanus glandula,48.0253,-123.006,much worse than normal,30/06/2021,QO_057
Acorn barnacle,Balanus glandula,48.0245,-122.7028,worse than normal,8/7/2021,QO_051
Acorn barnacle,Balanus glandula,47.6527,-124.3922,normal,14/07/2021,QO_176
Acorn barnacle,Balanus glandula,47.6131,-122.9827,much worse than normal,9/7/2021,QO_072
Acorn barnacle,Balanus glandula,47.5657,-122.9765,much worse than normal,8/7/2021,QO_127
Bay mussel,Mytilus spp.,51.6492,-128.0262,worse than normal,22/08/2021,QO_150
Bay mussel,Mytilus spp.,50.0273,-124.9982,much worse than normal,,QO_033
Bay mussel,Mytilus spp.,49.561,-123.2338,much worse than normal,8/7/2021,QO_034
Bay mussel,Mytilus spp.,49.5081,-123.944,much worse than normal,10/7/2021,QO_159
Bay mussel,Mytilus spp.,49.4576,-123.7388,much worse than normal,9/7/2021,QO_158
Bay mussel,Mytilus spp.,49.3392,-123.223,much worse than normal,12/7/2021,QO_181
Bay mussel,Mytilus spp.,49.3304,-123.2655,much worse than normal,,QO_035
Bay mussel,Mytilus spp.,49.3271,-122.9483,much worse than normal,29/06/2021,QO_182
Bay mussel,Mytilus spp.,49.3172,-122.9436,much worse than normal,30/06/2021,QO_183
Bay mussel,Mytilus spp.,49.3027,-123.1261,much worse than normal,12/7/2021,QO_187
Bay mussel,Mytilus spp.,49.3004,-122.9561,much worse than normal,6/7/2021,QO_184
Bay mussel,Mytilus spp.,49.2777,-123.1523,much worse than normal,4/7/2021,QO_186
Bay mussel,Mytilus spp.,49.2739,-123.2568,normal,12/7/2021,QO_160
Bay mussel,Mytilus spp.,49.2734,-123.1841,worse than normal,,QO_039
Bay mussel,Mytilus spp.,48.99,-123.5811,much worse than normal,9/7/2021,QO_037
Bay mussel,Mytilus spp.,48.9887,-123.5484,much worse than normal,9/7/2021,QO_036
Bay mussel,Mytilus spp.,48.8846,-123.3209,much worse than normal,9/7/2021,QO_038
Bay mussel,Mytilus spp.,48.712,-122.5192,much worse than normal,22/07/2021,QO_029
Bay mussel,Mytilus spp.,48.4781,-122.5764,worse than normal,10/7/2021,QO_028
Bay mussel,Mytilus spp.,48.2323,-122.7322,worse than normal,23/07/2021,QO_083
Bay mussel,Mytilus spp.,48.2206,-122.7259,much worse than normal,20/07/2021,QO_013
Bay mussel,Mytilus spp.,48.1347,-122.3687,worse than normal,29/06/2021,QO_091
