obs_no,Date_Time,Temp_C,RH_pc,Pressure_mbar,Rain_mm,PAR_µmol,DewPt_C
1,4/27/2021 17:00,11.273,86.1,1020.45,0,271.2,9
2,4/27/2021 17:30,11.637,86.1,1020.35,0,298.7,9.4
3,4/27/2021 18:00,11.248,87.1,1020.65,0,171.2,9.2
4,4/27/2021 18:30,11.224,88.4,1020.65,0,263.7,9.4
5,4/27/2021 19:00,10.516,87.3,1020.65,0,46.2,8.5
6,4/27/2021 19:30,10.59,87.8,1020.95,0,76.2,8.7
7,4/27/2021 20:00,10.516,87.6,1021.15,0,26.2,8.6
8,4/27/2021 20:30,10.32,86.5,1021.65,0,1.2,8.2
9,4/27/2021 21:00,10.296,86.2,1021.85,0,1.2,8.1
10,4/27/2021 21:30,10.173,85.2,1021.85,0,1.2,7.8
11,4/27/2021 22:00,10.394,87.3,1021.95,0,1.2,8.4
12,4/27/2021 22:30,10.149,88.4,1022.05,0,1.2,8.3
13,4/27/2021 23:00,10.051,88.8,1022.15,0,1.2,8.3
14,4/27/2021 23:30,9.952,88.7,1022.05,0,1.2,8.2
15,4/28/2021 0:00,10.247,89.8,1022.15,0,1.2,8.7
16,4/28/2021 0:30,10.173,90.9,1022.25,0,1.2,8.8
17,4/28/2021 1:00,9.805,90.9,1022.35,0,1.2,8.4
18,4/28/2021 1:30,9.509,91,1022.55,0,1.2,8.1
19,4/28/2021 2:00,9.534,90.8,1022.55,0,1.2,8.1
20,4/28/2021 2:30,9.188,90.9,1022.15,0,1.2,7.8
21,4/28/2021 3:00,9.04,90.9,1022.15,0,1.2,7.6
22,4/28/2021 3:30,8.916,91.3,1022.35,0,1.2,7.6
23,4/28/2021 4:00,8.543,91.2,1022.55,0,1.2,7.2
24,4/28/2021 4:30,8.668,91.4,1022.95,0,1.2,7.4
25,4/28/2021 5:00,8.767,91.8,1022.45,0,1.2,7.5
26,4/28/2021 5:30,8.965,92.6,1022.35,0,1.2,7.8
27,4/28/2021 6:00,8.717,92.3,1022.35,0,1.2,7.5
28,4/28/2021 6:30,8.717,92.2,1022.65,0,18.7,7.5
