STATION_ID,TIME_TAG PST (Z+8),PREDICTION,VEGA
VANCOUVER HARBOUR,2021-06-24 00:00,3.6310,3.8290
VANCOUVER HARBOUR,2021-06-24 00:01,,3.8360
VANCOUVER HARBOUR,2021-06-24 00:02,,3.8430
VANCOUVER HARBOUR,2021-06-24 00:03,,3.8520
VANCOUVER HARBOUR,2021-06-24 00:04,,3.8670
VANCOUVER HARBOUR,2021-06-24 00:05,3.6550,3.86
VANCOUVER HARBOUR,2021-06-24 00:06,,3.8660
VANCOUVER HARBOUR,2021-06-24 00:07,,3.8710
VANCOUVER HARBOUR,2021-06-24 00:08,,3.8810
VANCOUVER HARBOUR,2021-06-24 00:09,,3.8840
VANCOUVER HARBOUR,2021-06-24 00:10,3.68,3.8850
VANCOUVER HARBOUR,2021-06-24 00:11,,3.8970
VANCOUVER HARBOUR,2021-06-24 00:12,,3.9110
VANCOUVER HARBOUR,2021-06-24 00:13,,3.91
VANCOUVER HARBOUR,2021-06-24 00:14,,3.9040
VANCOUVER HARBOUR,2021-06-24 00:15,3.7060,3.9210
VANCOUVER HARBOUR,2021-06-24 00:16,,3.9240
VANCOUVER HARBOUR,2021-06-24 00:17,,3.9240
VANCOUVER HARBOUR,2021-06-24 00:18,,3.9280
VANCOUVER HARBOUR,2021-06-24 00:19,,3.9350
VANCOUVER HARBOUR,2021-06-24 00:20,3.7320,3.95
VANCOUVER HARBOUR,2021-06-24 00:21,,3.95
VANCOUVER HARBOUR,2021-06-24 00:22,,3.9560
VANCOUVER HARBOUR,2021-06-24 00:23,,3.9610
VANCOUVER HARBOUR,2021-06-24 00:24,,3.9680
VANCOUVER HARBOUR,2021-06-24 00:25,3.7590,3.9660
VANCOUVER HARBOUR,2021-06-24 00:26,,3.9660
VANCOUVER HARBOUR,2021-06-24 00:27,,3.9760
VANCOUVER HARBOUR,2021-06-24 00:28,,3.9850
VANCOUVER HARBOUR,2021-06-24 00:29,,3.9960
VANCOUVER HARBOUR,2021-06-24 00:30,3.7860,3.9920
VANCOUVER HARBOUR,2021-06-24 00:31,,3.9990
VANCOUVER HARBOUR,2021-06-24 00:32,,4.0040
VANCOUVER HARBOUR,2021-06-24 00:33,,4.0090
VANCOUVER HARBOUR,2021-06-24 00:34,,4.0150
VANCOUVER HARBOUR,2021-06-24 00:35,3.8140,4.0220
VANCOUVER HARBOUR,2021-06-24 00:36,,4.0290
VANCOUVER HARBOUR,2021-06-24 00:37,,4.03
VANCOUVER HARBOUR,2021-06-24 00:38,,4.0410
VANCOUVER HARBOUR,2021-06-24 00:39,,4.0440
VANCOUVER HARBOUR,2021-06-24 00:40,3.8420,4.0530
VANCOUVER HARBOUR,2021-06-24 00:41,,4.0580
VANCOUVER HARBOUR,2021-06-24 00:42,,4.06
VANCOUVER HARBOUR,2021-06-24 00:43,,4.0690
VANCOUVER HARBOUR,2021-06-24 00:44,,4.0720
VANCOUVER HARBOUR,2021-06-24 00:45,3.8710,4.0760
VANCOUVER HARBOUR,2021-06-24 00:46,,4.0790
VANCOUVER HARBOUR,2021-06-24 00:47,,4.0820
VANCOUVER HARBOUR,2021-06-24 00:48,,4.0930
VANCOUVER HARBOUR,2021-06-24 00:49,,4.1010
VANCOUVER HARBOUR,2021-06-24 00:50,3.8990,4.1080
VANCOUVER HARBOUR,2021-06-24 00:51,,4.1170
VANCOUVER HARBOUR,2021-06-24 00:52,,4.1280
VANCOUVER HARBOUR,2021-06-24 00:53,,4.1310
VANCOUVER HARBOUR,2021-06-24 00:54,,4.1340
VANCOUVER HARBOUR,2021-06-24 00:55,3.9270,4.1340
VANCOUVER HARBOUR,2021-06-24 00:56,,4.1450
VANCOUVER HARBOUR,2021-06-24 00:57,,4.1540
VANCOUVER HARBOUR,2021-06-24 00:58,,4.1570
VANCOUVER HARBOUR,2021-06-24 00:59,,4.1640
VANCOUVER HARBOUR,2021-06-24 01:00,3.9550,4.1690
VANCOUVER HARBOUR,2021-06-24 01:01,,4.1690
VANCOUVER HARBOUR,2021-06-24 01:02,,4.1760
VANCOUVER HARBOUR,2021-06-24 01:03,,4.1850
VANCOUVER HARBOUR,2021-06-24 01:04,,4.1850
VANCOUVER HARBOUR,2021-06-24 01:05,3.9830,4.1930
VANCOUVER HARBOUR,2021-06-24 01:06,,4.1940
VANCOUVER HARBOUR,2021-06-24 01:07,,4.20
VANCOUVER HARBOUR,2021-06-24 01:08,,4.2140
VANCOUVER HARBOUR,2021-06-24 01:09,,4.2160
VANCOUVER HARBOUR,2021-06-24 01:10,4.0110,4.2180
VANCOUVER HARBOUR,2021-06-24 01:11,,4.2250
VANCOUVER HARBOUR,2021-06-24 01:12,,4.2280
VANCOUVER HARBOUR,2021-06-24 01:13,,4.23
VANCOUVER HARBOUR,2021-06-24 01:14,,4.2330
VANCOUVER HARBOUR,2021-06-24 01:15,4.0390,4.2410
VANCOUVER HARBOUR,2021-06-24 01:16,,4.2520
VANCOUVER HARBOUR,2021-06-24 01:17,,4.2560
VANCOUVER HARBOUR,2021-06-24 01:18,,4.2540
VANCOUVER HARBOUR,2021-06-24 01:19,,4.2630
VANCOUVER HARBOUR,2021-06-24 01:20,4.0660,4.27
VANCOUVER HARBOUR,2021-06-24 01:21,,4.2730
VANCOUVER HARBOUR,2021-06-24 01:22,,4.2770
VANCOUVER HARBOUR,2021-06-24 01:23,,4.2860
VANCOUVER HARBOUR,2021-06-24 01:24,,4.2960
VANCOUVER HARBOUR,2021-06-24 01:25,4.0930,4.2960
VANCOUVER HARBOUR,2021-06-24 01:26,,4.2990
VANCOUVER HARBOUR,2021-06-24 01:27,,4.3050
VANCOUVER HARBOUR,2021-06-24 01:28,,4.31
VANCOUVER HARBOUR,2021-06-24 01:29,,4.3180
VANCOUVER HARBOUR,2021-06-24 01:30,4.1190,4.3180
VANCOUVER HARBOUR,2021-06-24 01:31,,4.3240
VANCOUVER HARBOUR,2021-06-24 01:32,,4.3310
VANCOUVER HARBOUR,2021-06-24 01:33,,4.3320
VANCOUVER HARBOUR,2021-06-24 01:34,,4.3390
VANCOUVER HARBOUR,2021-06-24 01:35,4.1450,4.3450
VANCOUVER HARBOUR,2021-06-24 01:36,,4.3510
VANCOUVER HARBOUR,2021-06-24 01:37,,4.3530
VANCOUVER HARBOUR,2021-06-24 01:38,,4.3550
VANCOUVER HARBOUR,2021-06-24 01:39,,4.36
VANCOUVER HARBOUR,2021-06-24 01:40,4.17,4.3620
